PAC,Gene,Description,Family,Number of Interactions,Rank of Druggabilty,Druggability Percentile,Rank Druggability for Other Therapeutic Areas,Druggability for Other Therapeutic Areas Percentile,Rank Druggability for Cancer,Druggability for Cancer Percentile,Rank Cancer-Associated,Cancer-Associated Percentile,Is this gene a drug target?,Is this gene a target of other therapeutics?,Is this gene a target of cancer therapeutics?,Is this gene associated with cancer?,Is this gene in the CGC?,Maximum Druggability percentile
P00533,EGFR,Epidermal growth factor receptor, protein kinase superfamily. Tyr protein kinase family. EGF receptor subfamily.,305,15,100%,1584,88%,5,100%,16,100%,1,0,1,1,1,1.00
P00540,MOS,Proto-oncogene serine/threonine-protein kinase mos, protein kinase superfamily. Ser/Thr protein kinase family.,53,2877,78%,2236,83%,1813,86%,1835,86%,0,0,0,0,0,0.86
P00558,PGK1,Phosphoglycerate kinase 1, phosphoglycerate kinase family.,7,5938,56%,9220,31%,6853,49%,5616,58%,0,0,0,0,0,0.56
P00568,AK1,"Adenylate kinase isoenzyme 1, AK 1", adenylate kinase family.,7,4430,67%,4786,64%,3564,73%,4127,69%,0,0,0,0,0,0.73
P00709,LALBA,Alpha-lactalbumin,glycosyl hydrolase 22 family,7,2553,81%,4152,69%,2357,82%,3751,72%,0,0,0,0,0,0.82
P00734,F2,Prothrombin, peptidase S1 family.,41,69,99%,20,100%,3688,72%,3965,70%,1,1,0,0,0,1.00
P00736,C1R,Complement C1r subcomponent, peptidase S1 family.,7,2241,83%,6468,52%,2018,85%,3962,70%,0,0,0,0,0,0.85
P00738,HP,Haptoglobin, peptidase S1 family.,23,3889,71%,7098,47%,2718,80%,1770,87%,0,0,0,0,0,0.80
P00739,HPR,Haptoglobin-related protein,peptidase S1 family,3,6275,53%,6031,55%,6605,51%,8668,35%,0,0,0,0,0,0.55
P00740,F9,Coagulation factor IX, peptidase S1 family.,6,160,99%,90,99%,9642,28%,10673,20%,1,1,0,0,0,0.99
P00742,F10,Coagulation factor X, peptidase S1 family.,20,55,100%,28,100%,1726,87%,6256,53%,1,1,0,0,0,1.00
P00746,CFD,Complement factor D,peptidase S1 family,3,1633,88%,2866,79%,6102,54%,10523,21%,0,0,0,0,0,0.88
P00747,PLG,Plasminogen, peptidase S1 family. Plasminogen subfamily.,64,205,98%,57,100%,941,93%,1355,90%,1,1,0,0,0,1.00
P00748,F12,Coagulation factor XII,peptidase S1 family,17,3608,73%,5347,60%,1219,91%,3536,74%,0,0,0,0,0,0.91
P00749,PLAU,"Urokinase-type plasminogen activator, U-plasminogen activator, uPA", peptidase S1 family.,26,1298,90%,1381,90%,2697,80%,2938,78%,0,0,0,0,0,0.90
P00750,PLAT,Tissue-type plasminogen activator,peptidase S1 family,25,307,98%,169,99%,1762,87%,2724,80%,1,1,0,0,0,0.99
P00751,CFB,Complement factor B, peptidase S1 family.,5,2750,79%,3369,75%,8106,39%,9951,25%,0,0,0,0,0,0.79
P00797,REN,Renin, peptidase A1 family.,8,2484,81%,1077,92%,9006,33%,8697,35%,1,1,0,0,0,0.92
P00813,ADA,Adenosine deaminase, adenosine and AMP deaminases family.,11,525,96%,6269,53%,232,98%,1254,91%,1,0,1,1,0,0.98
P00846,MT-ATP6,ATP synthase subunit a, ATPase A chain family.,1,5323,60%,8811,34%,9632,28%,11303,15%,0,0,0,0,0,0.60
P00915,CA1,Carbonic anhydrase 1, alpha-carbonic anhydrase family.,3,8596,36%,11469,14%,10831,19%,9244,31%,0,0,0,0,0,0.36
P00918,CA2,Carbonic anhydrase 2, alpha-carbonic anhydrase family.,11,207,98%,134,99%,5099,62%,7482,44%,1,1,0,0,0,0.99
P00966,ASS1,Argininosuccinate synthase, argininosuccinate synthase family. Type 1 subfamily.,12,3469,74%,4211,68%,3783,72%,4596,66%,0,0,0,0,0,0.74
P00973,OAS1,"2'-5'-oligoadenylate synthase 1, (2-5')oligo(A) synthase 1, 2-5A synthase 1", 2-5A synthase family.,6,11435,14%,9645,28%,9073,32%,7634,43%,0,0,0,0,0,0.32
P00995,SPINK1,Pancreatic secretory trypsin inhibitor,,4,3461,74%,3764,72%,9513,29%,10859,19%,0,0,0,0,0,0.74
P01008,SERPINC1,"Antithrombin-III, ATIII", serpin family.,7,72,99%,96,99%,5304,60%,7059,47%,1,1,0,0,0,0.99
P01009,SERPINA1,Alpha-1-antitrypsin, serpin family.,27,987,93%,1160,91%,2693,80%,4638,65%,0,0,0,0,0,0.93
P01011,SERPINA3,"Alpha-1-antichymotrypsin, ACT", serpin family.,25,984,93%,657,95%,2575,81%,3707,72%,0,0,0,0,0,0.95
P01019,AGT,Angiotensinogen, serpin family.,24,337,97%,231,98%,976,93%,1808,86%,0,0,0,0,0,0.98
P01023,A2M,"Alpha-2-macroglobulin, Alpha-2-M", protease inhibitor I39 (alpha-2-macroglobulin) family.,95,1896,86%,693,95%,1317,90%,2326,83%,0,0,0,0,0,0.95
P01024,C3,Complement C3,,28,3373,75%,739,94%,4688,65%,4813,64%,0,0,0,0,0,0.94
P01031,C5,Complement C5,,9,446,97%,148,99%,6305,53%,9055,32%,1,1,0,0,0,0.99
P01033,TIMP1,Metalloproteinase inhibitor 1, protease inhibitor I35 (TIMP) family.,12,1632,88%,2241,83%,3838,71%,5601,58%,0,0,0,0,0,0.88
P01034,CST3,Cystatin-C, cystatin family.,9,8293,38%,5996,55%,5846,56%,5740,57%,0,0,0,0,0,0.56
P01037,CST1,Cystatin-SN, cystatin family.,1,10839,19%,10393,22%,12284,8%,12050,10%,0,0,0,0,0,0.22
P01040,CSTA,Cystatin-A, cystatin family.,12,2789,79%,1959,85%,5390,60%,6604,51%,0,0,0,0,0,0.85
P01042,KNG1,Kininogen-1,,30,1162,91%,1607,88%,2348,82%,3158,76%,0,0,0,0,0,0.91
P01100,FOS,Proto-oncogene c-Fos, bZIP family. Fos subfamily.,114,1114,92%,10337,23%,291,98%,300,98%,0,0,0,0,0,0.98
P01106,MYC,Myc proto-oncogene protein,,162,1136,91%,7853,41%,361,97%,50,100%,0,0,0,1,1,0.97
P01111,NRAS,GTPase NRas, small GTPase superfamily. Ras family.,19,3851,71%,3863,71%,2777,79%,1325,90%,0,0,0,1,1,0.79
P01112,HRAS,GTPase HRas, small GTPase superfamily. Ras family.,82,833,94%,776,94%,399,97%,211,98%,0,0,0,1,1,0.97
P01116,KRAS,GTPase KRas, small GTPase superfamily. Ras family.,36,4123,69%,4201,69%,3910,71%,2103,84%,0,0,0,1,1,0.71
P01127,PDGFB,"Platelet-derived growth factor subunit B, PDGF subunit B", PDGF/VEGF growth factor family.,21,1226,91%,484,96%,2599,81%,1001,92%,0,0,0,1,1,0.96
P01130,LDLR,"Low-density lipoprotein receptor, LDL receptor", LDLR family.,18,325,98%,384,97%,590,96%,2045,85%,0,0,0,0,0,0.98
P01133,EGF,"Pro-epidermal growth factor, EGF",,14,578,96%,1398,90%,781,94%,1550,88%,0,0,0,0,0,0.96
P01135,TGFA,Protransforming growth factor alpha,,16,785,94%,1255,91%,2893,78%,3769,72%,0,0,0,0,0,0.94
P01137,TGFB1,"Transforming growth factor beta-1, TGF-beta-1", TGF-beta family.,43,1187,91%,2204,83%,2309,83%,3487,74%,0,0,0,0,0,0.91
P01138,NGF,"Beta-nerve growth factor, Beta-NGF", NGF-beta family.,10,716,95%,2125,84%,360,97%,4540,66%,0,0,0,0,0,0.97
P01148,GNRH1,Progonadoliberin-1,GnRH family,2,746,94%,1461,89%,6137,54%,10458,22%,0,0,0,0,0,0.94
P01160,NPPA,Natriuretic peptides A, natriuretic peptide family.,13,1481,89%,1525,89%,4290,68%,3616,73%,0,0,0,0,0,0.89
P01178,OXT,"Oxytocin-neurophysin 1, OT-NPI", vasopressin/oxytocin family.,5,1689,87%,3193,76%,4112,69%,7274,45%,0,0,0,0,0,0.87
P01185,AVP,Vasopressin-neurophysin 2-copeptin,vasopressin/oxytocin family,7,1090,92%,2877,78%,4489,66%,7548,43%,0,0,0,0,0,0.92
P01189,POMC,Pro-opiomelanocortin,POMC family,12,2505,81%,1967,85%,6089,54%,6461,52%,0,0,0,0,0,0.85
P01213,PDYN,Proenkephalin-B,opioid neuropeptide precursor family,2,8885,33%,5327,60%,10365,22%,9770,27%,0,0,0,0,0,0.60
P01215,CGA,Glycoprotein hormones alpha chain, glycoprotein hormones subunit alpha family.,8,177,99%,184,99%,3879,71%,6773,49%,0,0,0,0,0,0.99
P01222,TSHB,Thyrotropin subunit beta,glycoprotein hormones subunit beta family,2,828,94%,1979,85%,8224,38%,11958,10%,0,0,0,0,0,0.94
P01225,FSHB,Follitropin subunit beta, glycoprotein hormones subunit beta family.,3,334,97%,109,99%,4244,68%,8632,35%,0,0,0,0,0,0.99
P01229,LHB,Lutropin subunit beta,glycoprotein hormones subunit beta family,4,234,98%,149,99%,7833,41%,11108,17%,0,0,0,0,0,0.99
P01233,CGB,"Choriogonadotropin subunit beta, CG-beta", glycoprotein hormones subunit beta family.,4,720,95%,807,94%,6441,52%,8828,34%,0,0,0,0,0,0.95
P01236,PRL,Prolactin,somatotropin/prolactin family,5,2828,79%,3000,78%,5545,58%,5078,62%,0,0,0,0,0,0.79
P01241,GH1,Somatotropin, somatotropin/prolactin family.,5,1144,91%,1216,91%,2852,79%,3518,74%,0,0,0,0,0,0.91
P01242,GH2,Growth hormone variant,somatotropin/prolactin family,1,4957,63%,3770,72%,7488,44%,11340,15%,0,0,0,0,0,0.72
P01243,CSH1,"Chorionic somatomammotropin hormone, Choriomammotropin", somatotropin/prolactin family.,5,7261,46%,10915,18%,3577,73%,3498,74%,0,0,0,0,0,0.73
P01258,CALCA,Calcitonin, calcitonin family.,4,5546,58%,4706,65%,7906,41%,11780,12%,0,0,0,0,0,0.65
P01266,TG,Thyroglobulin,type-B carboxylesterase/lipase family,9,603,95%,800,94%,1880,86%,6087,54%,0,0,0,0,0,0.95
P01270,PTH,"Parathyroid hormone, PTH", parathyroid hormone family.,5,2127,84%,3238,76%,7234,46%,9496,29%,0,0,0,0,0,0.84
P01275,GCG,Glucagon, glucagon family.,11,676,95%,471,96%,5309,60%,7830,41%,0,0,0,0,0,0.96
P01282,VIP,VIP peptides, glucagon family.,10,1102,92%,606,95%,7233,46%,7101,47%,0,0,0,0,0,0.95
P01286,GHRH,Somatoliberin, glucagon family.,3,2483,81%,3497,74%,9717,27%,11853,11%,0,0,0,0,0,0.81
P01298,PPY,Pancreatic prohormone,NPY family,3,11846,11%,4619,65%,10366,22%,11327,15%,0,0,0,0,0,0.65
P01303,NPY,Pro-neuropeptide Y, NPY family.,17,4865,64%,2560,81%,7410,44%,6146,54%,0,0,0,0,0,0.81
P01308,INS,Insulin, insulin family.,25,2734,80%,7042,47%,2330,83%,2800,79%,0,0,0,0,0,0.83
P01344,IGF2,"Insulin-like growth factor II, IGF-II", insulin family.,22,1468,89%,1174,91%,3078,77%,2874,78%,0,0,0,0,0,0.91
P01350,GAST,Gastrin, gastrin/cholecystokinin family.,5,1662,88%,995,93%,9956,25%,11650,13%,0,0,0,0,0,0.93
P01374,LTA,"Lymphotoxin-alpha, LT-alpha", tumor necrosis factor family.,8,678,95%,3931,71%,112,99%,1341,90%,1,0,1,1,0,0.99
P01375,TNF,Tumor necrosis factor, tumor necrosis factor family.,22,914,93%,2411,82%,267,98%,1881,86%,1,0,1,1,0,0.98
P01562,IFNA1,"Interferon alpha-1/13, IFN-alpha-1/13", alpha/beta interferon family.,4,3201,76%,3140,76%,5403,60%,6433,52%,0,0,0,0,0,0.76
P01563,IFNA2,"Interferon alpha-2, IFN-alpha-2", alpha/beta interferon family.,2,618,95%,3840,71%,165,99%,5449,59%,0,0,0,0,0,0.99
P01569,IFNA5,"Interferon alpha-5, IFN-alpha-5", alpha/beta interferon family.,2,1680,87%,5629,58%,201,98%,5095,62%,0,0,0,0,0,0.98
P01574,IFNB1,"Interferon beta, IFN-beta", alpha/beta interferon family.,2,1849,86%,2736,79%,5088,62%,9711,27%,0,0,0,0,0,0.86
P01579,IFNG,"Interferon gamma, IFN-gamma", type II (or gamma) interferon family.,5,913,93%,663,95%,1557,88%,6326,53%,0,0,0,0,0,0.95
P01583,IL1A,"Interleukin-1 alpha, IL-1 alpha", IL-1 family.,10,3313,75%,5549,58%,2020,85%,5320,60%,0,0,0,0,0,0.85
P01584,IL1B,"Interleukin-1 beta, IL-1 beta", IL-1 family.,17,414,97%,654,95%,670,95%,2204,83%,1,1,0,0,0,0.97
P01588,EPO,Erythropoietin, EPO/TPO family.,2,2073,84%,2680,80%,685,95%,4736,65%,0,0,0,0,0,0.95
P01589,IL2RA,"Interleukin-2 receptor subunit alpha, IL-2 receptor subunit alpha, IL-2-RA, IL-2R subunit alpha, IL2-RA",,11,196,99%,998,93%,142,99%,918,93%,1,0,1,1,0,0.99
P01591,IGJ,Immunoglobulin J chain,,2,2925,78%,3231,76%,4603,66%,9632,28%,0,0,0,0,0,0.78
P01709,,Ig lambda chain V-II region MGC,,2,3807,71%,2883,78%,10208,24%,12083,9%,0,0,0,0,0,0.78
P01730,CD4,T-cell surface glycoprotein CD4,,43,432,97%,1484,89%,307,98%,748,94%,0,0,0,0,0,0.98
P01732,CD8A,T-cell surface glycoprotein CD8 alpha chain,,24,847,94%,1257,91%,709,95%,2016,85%,0,0,0,0,0,0.95
P01733,TRBV12-3,T-cell receptor beta chain V region YT35,,1,4871,63%,2756,79%,7079,47%,11026,17%,0,0,0,0,0,0.79
P01764,,Ig heavy chain V-III region VH26,,1,12160,9%,12858,4%,12260,8%,12074,10%,0,0,0,0,0,0.09
P01772,,Ig heavy chain V-III region KOL,,1,4956,63%,3725,72%,10194,24%,12775,4%,0,0,0,0,0,0.72
P01825,,Ig heavy chain V-II region NEWM,,1,7536,44%,3825,71%,8980,33%,11609,13%,0,0,0,0,0,0.71
P01833,PIGR,"Polymeric immunoglobulin receptor, PIgR, Poly-Ig receptor",,4,3350,75%,2862,79%,2842,79%,7890,41%,0,0,0,0,0,0.79
P01834,IGKC,Ig kappa chain C region,,7,7531,44%,7416,44%,8121,39%,8076,39%,0,0,0,0,0,0.44
P01848,TRAC,T-cell receptor alpha chain C region,,14,1518,89%,929,93%,240,98%,4283,68%,0,0,0,0,0,0.98
P01850,TRBC1,T-cell receptor beta-1 chain C region,,16,1650,88%,1048,92%,385,97%,5564,58%,0,0,0,0,0,0.97
P01854,IGHE,Ig epsilon chain C region,,3,1011,92%,475,96%,5767,57%,9904,26%,1,1,0,0,0,0.96
P01857,IGHG1,Ig gamma-1 chain C region,,14,1139,91%,750,94%,4797,64%,6108,54%,0,0,0,0,0,0.94
P01860,IGHG3,Ig gamma-3 chain C region,,1,8970,33%,3964,70%,10174,24%,11884,11%,0,0,0,0,0,0.70
P01861,IGHG4,Ig gamma-4 chain C region,,1,5348,60%,4304,68%,10705,20%,12571,6%,0,0,0,0,0,0.68
P01871,IGHM,Ig mu chain C region,,19,4431,67%,5964,55%,3326,75%,3686,72%,0,0,0,0,0,0.75
P01876,IGHA1,Ig alpha-1 chain C region,,2,4020,70%,3717,72%,7976,40%,10513,21%,0,0,0,0,0,0.72
P01880,IGHD,Ig delta chain C region,,2,2148,84%,2197,84%,6626,50%,10890,18%,0,0,0,0,0,0.84
P01889,HLA-B,"HLA class I histocompatibility antigen, B-7 alpha chain", MHC class I family.,46,1131,92%,919,93%,819,94%,1343,90%,0,0,0,0,0,0.94
P01891,HLA-A,"HLA class I histocompatibility antigen, A-68 alpha chain", MHC class I family.,2,3006,77%,2937,78%,9992,25%,12265,8%,0,0,0,0,0,0.78
P01892,HLA-A,"HLA class I histocompatibility antigen, A-2 alpha chain", MHC class I family.,37,960,93%,1190,91%,290,98%,1082,92%,0,0,0,0,0,0.98
P01903,HLA-DRA,"HLA class II histocompatibility antigen, DR alpha chain", MHC class II family.,26,1612,88%,1148,91%,348,97%,3000,78%,0,0,0,0,0,0.97
P01906,HLA-DQA2,"HLA class II histocompatibility antigen, DQ alpha 2 chain",MHC class II family,3,7692,42%,4089,69%,9282,30%,6463,52%,0,0,0,0,0,0.69
P01909,HLA-DQA1,"HLA class II histocompatibility antigen, DQ alpha 1 chain", MHC class II family.,11,8034,40%,1112,92%,7677,42%,3445,74%,0,0,0,0,0,0.92
P01911,HLA-DRB1,"HLA class II histocompatibility antigen, DRB1-15 beta chain",MHC class II family,7,6450,52%,3368,75%,8718,35%,10001,25%,0,0,0,0,0,0.75
P01912,HLA-DRB1,"HLA class II histocompatibility antigen, DRB1-3 chain", MHC class II family.,6,5881,56%,1313,90%,8648,35%,10528,21%,0,0,0,0,0,0.90
P01920,HLA-DQB1,"HLA class II histocompatibility antigen, DQ beta 1 chain", MHC class II family.,6,5759,57%,1728,87%,8557,36%,5758,57%,0,0,0,0,0,0.87
P02008,HBZ,Hemoglobin subunit zeta, globin family.,14,4111,69%,4044,70%,2830,79%,3454,74%,0,0,0,0,0,0.79
P02042,HBD,Hemoglobin subunit delta,globin family,4,2600,81%,2769,79%,5499,59%,7735,42%,0,0,0,0,0,0.81
P02100,HBE1,Hemoglobin subunit epsilon,globin family,2,9791,27%,1440,89%,12556,6%,12669,5%,0,0,0,0,0,0.89
P02144,MB,Myoglobin,globin family,1,13086,2%,13097,2%,13091,2%,13164,1%,0,0,0,0,0,0.02
P02452,COL1A1,Collagen alpha-1(I) chain, fibrillar collagen family.,40,1308,90%,760,94%,1222,91%,1314,90%,0,0,0,1,1,0.94
P02458,COL2A1,Collagen alpha-1(II) chain, fibrillar collagen family.,36,1222,91%,1464,89%,2953,78%,1062,92%,0,0,0,1,1,0.91
P02461,COL3A1,Collagen alpha-1(III) chain, fibrillar collagen family.,12,2730,80%,1683,87%,7255,46%,6077,54%,0,0,0,0,0,0.87
P02462,COL4A1,Collagen alpha-1(IV) chain, type IV collagen family.,29,2455,82%,2465,82%,4169,69%,2923,78%,0,0,0,0,0,0.82
P02489,CRYAA,Alpha-crystallin A chain, small heat shock protein (HSP2) family.,14,2594,81%,1875,86%,2562,81%,5016,62%,0,0,0,0,0,0.86
P02511,CRYAB,Alpha-crystallin B chain, small heat shock protein (HSP2) family.,45,2558,81%,6094,54%,1367,90%,2363,82%,0,0,0,0,0,0.90
P02533,KRT14,"Keratin, type I cytoskeletal 14", intermediate filament family.,10,6817,49%,8013,40%,4245,68%,3263,76%,0,0,0,0,0,0.68
P02538,KRT6A,"Keratin, type II cytoskeletal 6A", intermediate filament family.,18,11724,12%,8463,37%,5664,58%,4260,68%,0,0,0,0,0,0.58
P02545,LMNA,Prelamin-A/C, intermediate filament family.,53,2564,81%,6515,51%,701,95%,118,99%,0,0,0,1,1,0.95
P02549,SPTA1,"Spectrin alpha chain, erythrocyte", spectrin family.,17,1408,89%,2461,82%,1825,86%,2435,82%,0,0,0,0,0,0.89
P02585,TNNC2,"Troponin C, skeletal muscle",troponin C family,2,4210,68%,3693,72%,9005,33%,11008,18%,0,0,0,0,0,0.72
P02647,APOA1,"Apolipoprotein A-I, Apo-AI, ApoA-I", apolipoprotein A1/A4/E family.,37,1266,91%,527,96%,2780,79%,2950,78%,0,0,0,0,0,0.96
P02649,APOE,"Apolipoprotein E, Apo-E", apolipoprotein A1/A4/E family.,56,6930,48%,6018,55%,1960,85%,2179,84%,0,0,0,0,0,0.85
P02652,APOA2,Apolipoprotein A-II,apolipoprotein A2 family,11,1349,90%,1123,92%,4878,63%,7236,46%,0,0,0,0,0,0.92
P02654,APOC1,"Apolipoprotein C-I, Apo-CIB, ApoC-IB", apolipoprotein C1 family.,4,3277,75%,5147,61%,6236,53%,8962,33%,0,0,0,0,0,0.75
P02655,APOC2,Apolipoprotein C-II,apolipoprotein C2 family,1,6040,55%,4346,67%,10574,21%,12406,7%,0,0,0,0,0,0.67
P02656,APOC3,"Apolipoprotein C-III, Apo-CIII, ApoC-III", apolipoprotein C3 family.,3,8538,36%,8251,38%,8334,38%,6409,52%,0,0,0,0,0,0.38
P02671,FGA,Fibrinogen alpha chain,,18,172,99%,87,99%,1096,92%,2445,82%,1,1,0,0,0,0.99
P02675,FGB,Fibrinogen beta chain,,16,1405,89%,257,98%,3370,75%,3538,73%,1,1,0,0,0,0.98
P02679,FGG,Fibrinogen gamma chain,,12,1125,92%,2287,83%,3200,76%,5185,61%,0,0,0,0,0,0.92
P02686,MBP,"Myelin basic protein, MBP", myelin basic protein family.,74,3836,71%,1008,92%,1037,92%,1010,92%,0,0,0,0,0,0.92
P02689,PMP2,Myelin P2 protein,Fatty-acid binding protein (FABP) family,1,12283,8%,12530,6%,12820,4%,12850,4%,0,0,0,0,0,0.08
P02708,CHRNA1,Acetylcholine receptor subunit alpha,ligand-gated ion channel (TC 1.A.9) family,4,2562,81%,2087,84%,7680,42%,10857,19%,0,0,0,0,0,0.84
P02724,GYPA,Glycophorin-A,glycophorin A family,2,1464,89%,3230,76%,4812,64%,8713,35%,0,0,0,0,0,0.89
P02730,SLC4A1,Band 3 anion transport protein, anion exchanger (TC 2.A.31) family.,15,789,94%,1523,89%,2536,81%,2998,78%,0,0,0,0,0,0.94
P02735,,,,3,6259,53%,6991,48%,7082,47%,9483,29%,0,0,0,0,0,0.53
P02741,CRP,C-reactive protein, pentaxin family.,21,666,95%,724,95%,1065,92%,2121,84%,0,0,0,0,0,0.95
P02743,APCS,"Serum amyloid P-component, SAP", pentaxin family.,18,643,95%,743,94%,964,93%,2692,80%,0,0,0,0,0,0.95
P02745,C1QA,Complement C1q subcomponent subunit A,,26,1309,90%,1007,92%,3395,75%,3581,73%,0,0,0,0,0,0.92
P02746,C1QB,Complement C1q subcomponent subunit B,,9,1570,88%,2093,84%,3963,70%,6140,54%,0,0,0,0,0,0.88
P02747,C1QC,Complement C1q subcomponent subunit C,,4,1669,87%,1220,91%,6187,54%,10411,22%,0,0,0,0,0,0.91
P02748,C9,Complement component C9,complement C6/C7/C8/C9 family,3,2932,78%,3576,73%,8462,37%,10603,21%,0,0,0,0,0,0.78
P02749,APOH,Beta-2-glycoprotein 1,,15,434,97%,307,98%,771,94%,1239,91%,0,0,0,0,0,0.98
P02750,LRG1,Leucine-rich alpha-2-glycoprotein,,1,6111,54%,4045,70%,10297,23%,11947,10%,0,0,0,0,0,0.70
P02751,FN1,"Fibronectin, FN",,112,486,96%,352,97%,463,97%,508,96%,0,0,0,0,0,0.97
P02753,RBP4,Retinol-binding protein 4, calycin superfamily. Lipocalin family.,5,1630,88%,337,97%,5746,57%,5666,58%,0,0,0,0,0,0.97
P02760,AMBP,Protein AMBP,,13,462,97%,541,96%,694,95%,2047,85%,0,0,0,0,0,0.97
P02763,ORM1,"Alpha-1-acid glycoprotein 1, AGP 1", calycin superfamily. Lipocalin family.,9,1813,86%,2998,78%,4049,70%,6758,49%,0,0,0,0,0,0.86
P02765,AHSG,Alpha-2-HS-glycoprotein, fetuin family.,7,1603,88%,1268,90%,2514,81%,4636,65%,0,0,0,0,0,0.90
P02766,TTR,Transthyretin, transthyretin family.,45,4008,70%,5575,58%,2677,80%,2348,82%,0,0,0,0,0,0.80
P02768,ALB,Serum albumin, ALB/AFP/VDB family.,26,5125,62%,7440,44%,3751,72%,3489,74%,0,0,0,0,0,0.72
P02771,AFP,Alpha-fetoprotein, ALB/AFP/VDB family.,11,2777,79%,2922,78%,5565,58%,6511,51%,0,0,0,0,0,0.79
P02774,GC,"Vitamin D-binding protein, DBP, VDB", ALB/AFP/VDB family.,12,1194,91%,2050,85%,3375,75%,3859,71%,0,0,0,0,0,0.91
P02775,PPBP,"Platelet basic protein, PBP", intercrine alpha (chemokine CxC) family.,23,1281,90%,516,96%,3833,71%,3481,74%,0,0,0,0,0,0.96
P02776,PF4,Platelet factor 4,intercrine alpha (chemokine CxC) family,11,839,94%,1590,88%,3235,76%,6273,53%,0,0,0,0,0,0.94
P02778,CXCL10,C-X-C motif chemokine 10, intercrine alpha (chemokine CxC) family.,6,1193,91%,1067,92%,5908,56%,9909,26%,0,0,0,0,0,0.92
P02786,TFRC,"Transferrin receptor protein 1, TR, TfR, TfR1, Trfr", peptidase M28 family. M28B subfamily.,13,915,93%,837,94%,3576,73%,2711,80%,0,0,0,1,1,0.94
P02787,TF,"Serotransferrin, Transferrin", transferrin family.,21,849,94%,635,95%,1675,87%,2129,84%,0,0,0,0,0,0.95
P02788,LTF,"Lactotransferrin, Lactoferrin", transferrin family.,11,3585,73%,5322,60%,5333,60%,4211,68%,0,0,0,0,0,0.73
P02790,HPX,Hemopexin, hemopexin family.,2,3352,75%,3561,73%,5757,57%,9532,29%,0,0,0,0,0,0.75
P02792,FTL,"Ferritin light chain, Ferritin L subunit", ferritin family.,25,4141,69%,6646,50%,2151,84%,1628,88%,0,0,0,0,0,0.84
P02794,FTH1,"Ferritin heavy chain, Ferritin H subunit", ferritin family.,31,3341,75%,7103,47%,1700,87%,920,93%,0,0,0,0,0,0.87
P02795,MT2A,"Metallothionein-2, MT-2", metallothionein superfamily. Type 1 family.,14,6511,51%,6638,50%,7505,44%,5647,58%,0,0,0,0,0,0.51
P02808,STATH,Statherin, histatin/statherin family.,2,7238,46%,3121,77%,6632,50%,13045,2%,0,0,0,0,0,0.77
P02810,PRH1,Salivary acidic proline-rich phosphoprotein 1/2,,1,5707,57%,4759,64%,11109,17%,12868,4%,0,0,0,0,0,0.64
P02814,SMR3B,Submaxillary gland androgen-regulated protein 3B, PROL1/PROL3 family.,1,8853,34%,5292,60%,10644,20%,9533,29%,0,0,0,0,0,0.60
P02818,BGLAP,Osteocalcin,osteocalcin/matrix Gla protein family,5,7232,46%,3326,75%,9790,27%,11206,16%,0,0,0,0,0,0.75
P03372,ESR1,"Estrogen receptor, ER", nuclear hormone receptor family. NR3 subfamily.,286,5,100%,6533,51%,3,100%,1,100%,1,0,1,1,0,1.00
P03886,MT-ND1,NADH-ubiquinone oxidoreductase chain 1, complex I subunit 1 family.,11,3773,72%,7623,43%,3944,70%,3816,71%,0,0,0,0,0,0.72
P03891,MT-ND2,NADH-ubiquinone oxidoreductase chain 2,complex I subunit 2 family,1,4665,65%,2965,78%,5720,57%,7709,42%,0,0,0,0,0,0.78
P03897,MT-ND3,NADH-ubiquinone oxidoreductase chain 3,complex I subunit 3 family,1,5031,62%,2953,78%,10601,21%,12671,5%,0,0,0,0,0,0.78
P03901,MT-ND4L,NADH-ubiquinone oxidoreductase chain 4L, complex I subunit 4L family.,1,4905,63%,4005,70%,7097,47%,10334,23%,0,0,0,0,0,0.70
P03905,MT-ND4,NADH-ubiquinone oxidoreductase chain 4, complex I subunit 4 family.,5,2745,79%,3781,72%,4353,67%,4778,64%,0,0,0,0,0,0.79
P03915,MT-ND5,NADH-ubiquinone oxidoreductase chain 5, complex I subunit 5 family.,2,10742,20%,11245,16%,11472,14%,9379,30%,0,0,0,0,0,0.20
P03928,MT-ATP8,ATP synthase protein 8, ATPase protein 8 family.,4,2408,82%,1997,85%,4708,65%,5652,58%,0,0,0,0,0,0.85
P03950,ANG,Angiogenin, pancreatic ribonuclease family.,9,3409,74%,3884,71%,8483,36%,7422,44%,0,0,0,0,0,0.74
P03951,F11,Coagulation factor XI,peptidase S1 family,8,1451,89%,1865,86%,3077,77%,6050,55%,0,0,0,0,0,0.89
P03952,KLKB1,Plasma kallikrein,peptidase S1 family,8,343,97%,77,99%,4381,67%,7338,45%,1,1,0,0,0,0.99
P03956,MMP1,Interstitial collagenase, peptidase M1A family.,26,1409,89%,435,97%,3853,71%,4971,63%,0,0,0,0,0,0.97
P03971,AMH,Muellerian-inhibiting factor, TGF-beta family.,6,2639,80%,3602,73%,5665,58%,6088,54%,0,0,0,0,0,0.80
P03973,SLPI,"Antileukoproteinase, ALP",,10,5723,57%,2604,80%,6991,48%,6603,51%,0,0,0,0,0,0.80
